12,28,3
10,24,2
9,21,3
9,21,3
8,21,3
9,20,2
9,20,2
8,21,3
11,17,2
10,17,2
10,16,2
10,15,3
9,15,3
9,15,3
10,15,2
10,15,2
10,15,2
10,15,2
9,14,3
9,13,3
11,11,3
12,10,4
13,9,4
14,9,4
16,9,5
17,8,5
18,8,5
19,9,5
19,10,7
19,10,7
20,12,7
19,12,7
18,12,7
17,13,8
19,18,7
20,21,7
20,22,7
20,22,7
20,22,7
20,22,7
18,24,7
18,24,7
17,25,1
16,25,1
14,25,1
13,23,1
13,23,1
13,23,2
12,23,3
10,21,2
10,20,3
10,16,3
9,16,3
10,14,3
10,14,3
8,11,3
8,11,3
8,11,3
10,9,3
11,10,5
12,8,4
13,8,4
15,8,5
16,8,5
17,7,5
18,9,5
18,10,7
18,10,7
19,10,7
19,12,7
20,13,7
20,13,7
20,13,7
21,17,7
21,19,7
21,19,7
21,21,7
21,21,7
21,22,7
19,24,8
20,25,7
20,25,7
17,25,1
17,25,1
17,25,1
17,25,1
17,25,1
17,25,1
16,23,2
